,Facility Name,Address/Phone Number,,Services ,Age minimum,"Amenities (Golf, Swimming)",Occupancy rate,Certificate,Pricing,
,,,,,,,,,,
1,lake forest park,Lake Forest Park,,,55+ or Age Restricted,"Daily Fitness Classes, Wii Games
Movie Night
Music Hour
Armchair Fitness
Puzzlers
Book Club
Card and Board Games
Bingo
Mary Kay Facials
Happy Hour
Music Programs",,,,
,,2909 S. 25th Street,,,,,,,,
,,"Ft. Pierce, FL 34981",,,,,,,,
,,772-200-4998,,,,,,,,
,,,,,,,,,,
2,Villaggio Reserve,"16679 Hagen Ranch Rd Delray Beach, Florida 33446",,,55+,"cafe, pool, clib, fitness center, exercise room, theater",,,"Luxury ,Intermediate",
,,(855) 230-1817,,,,,,,:,
,,,,,,,,,,
3,Lake blue,"713 Rose Street, Auburndale, FL 33823",,,55+ or Age Restricted,"horseshoe, shuffleboards, pets",,,,
,,863-967-0402,,,,,,,:,
,,,,,,,,,,
4,Del Webb Naples Community,"6055 Anthem Parkway, Ave Maria, FL 34142",,,55+ or Age Restricted,"pool, fitness center, dance, yoga, golf, tennis, art and craft",,,"$166,990 to $280,990",
,,(866) 451-9322,,,,,,,"1,133 to 2,589+ Sq. ft.",
,,,,,,,,,,
5,consulate health care,multiple locations,,"24-hour skilled nursing, Advanced wound care
IV therapy
Pain management
Enteral nutrition
Peritoneal dialysis
Pulmonary care
Oncology care
Post-stroke care
Cardiac care
Trach care
Hospice care
Respite care
Nutrition services",,"24-hour skilled nursing care, Comprehensive post-acute care
Physical, Occupational and Speech therapies
“Your Journey Home” short-term rehab program
Alzheimer's and dementia care
Care for medically-complex patients",,,,
,,(407) 571-1550,,,,,,,,
,,,,,,,,,,
6,life care centers of America,989 Orienta Avenue,,"Skilled and intermediate care
Separate Dementia care unit
Separate subacute care unit
Inpatient rehabilitation
IV therapy
Oxygen therapy
Wound management
Respite services
Cardiac rehabilitation
",,"Landscaped courtyards, Beauty/barber salon
Life Care bus
Cable TV and telephone hookups",,,,
,,"Altamonte Springs, FL 32701",,,,,,,,
,,Phone: (407) 831-3446,,,,,,,,
,,,,,,"Paved walking paths and garden areas, Landscaped grounds
Library, comfortable living rooms and social meeting areas
Private dining room available for special occasions
Salon and barbershop
On site resident run general store
Resident and guest parking
Centrally located laundry rooms",,,,
7,Horizon Bay Altamonte Springs,360 Montgomery Road,,,,,,,,
,,"Altamonte Springs, FL 32714",,,,,,,,
,,877-938-9280,,,,,,,,
,,,,,,,,,,
8,Savannah Cove,4040 Esplanade Way Suite 280,,"vacciantions, weight loss, lost bladder control, depression, pain and pressure",,,currently about 85% full,Medicare and Medicaid,Daily Cost (Private Room),
,,"Tallahassee, FL 32,399",,,,,,,$210,
,,(850) 414-2323,,,,,,,,
,,,,,,,,,,
9,Village on the green,"500 VILLAGE PL | LONGWOOD, FL 32779 | 407.682.0230",,"Registered and practical nurses
Certified nursing aides
Physical, occupational and speech therapists
Licensed social worker
Activities coordinator
Dietician
Restorative aide",,"tv, activities, lounge, laundry, meals, beauty and barber",,,,
,,,,,,,,,,
10,Island Lake Center,155 LANDOVER PLACE [map],,"24 Hour Nursing Care, Occupational, Speech, and Physical Therapy
Partner Program
Family Council
Customer Council
Dietitians for Nutritional Oversight
Customer Ambassador Program",,"Phones in Room, Cable TV
Electric Beds
Beauty/Barber Shop
Personal Laundry
Banking
Internet Cafe
Daily Activities",urrently about 95% full,Medicare and Medicaid,Daily Cost (Private Room),
,,"Longwood, FL 32750",,,,,,,$200,
,,(850) 414-2323,,,,,,,,
,,,,,,,,,,
